,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Consulting Revenue,12000,14000,16000,13000,15000,14000,18000,17000,16000,40000,38000,35000
Product Sales Revenue,3500,4000,4500,3800,4200,4000,5200,4800,4600,10500,10000,9200
Ad Management Revenue,1800,2000,2200,1800,2000,1900,2200,2100,2000,5500,5300,5000
Total Revenue,17300,20000,22700,18600,21200,19900,25400,23900,22600,56000,53300,49200
Contract Labor,6500,7500,8000,6000,7000,6500,8500,8200,7900,21000,20000,18000
Software Subscriptions,500,500,500,500,500,500,500,500,500,500,500,500
Advertising,7000,8200,8500,7000,8000,7500,9000,8500,8300,26000,25000,23000
Direct Expenses Total,14000,16200,17000,13500,15500,14500,18000,17200,16700,47500,45500,41500
Travel,1600,1900,1600,1400,1500,1400,1800,1700,1600,5000,4600,4200
Home Office Costs,900,1000,900,800,850,800,900,900,900,2700,2600,2400
Salary,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
Indirect Expenses Total,12500,12900,12500,12200,12350,12200,12700,12600,12500,17700,17200,16600
Depreciation,500,500,500,500,500,500,500,500,500,500,500,500
Interest Expense,0,0,0,0,0,0,0,0,0,250,250,250
Income Tax Expense,200,400,700,450,550,500,600,550,500,1600,1500,1300
Net Profit,1100,1200,1500,950,1300,1200,1600,1150,1400,4150,4050,4050
